N,time,FLOPS
16,5.041230235791084e-07,634765692.1679648
32,6.315060770533186e-07,1266812828.9958725
64,7.502191163740117e-07,2559252301.2207675
128,1.1549157733732598e-06,3879070754.1510897
256,2.1164687096513144e-06,4838247763.033089
512,3.796690678288757e-06,6068442744.560001
1024,1.2796388145649582e-05,4001129023.0678554
2048,1.4201460946673424e-05,7931578337.113619
4096,2.4297006048230603e-05,10114826473.358727
8192,5.712151847798788e-05,9321881038.670118
16384,0.00010385774371059707,11042797186.080008
32768,0.0002236967336244728,10986302572.149557
65536,0.00047703776036898764,10990492651.87025
131072,0.0009454830698091379,11783521414.34857
262144,0.0024214906255005837,9743155621.39446
